qubit_id,name,value(fF)
q0,C_01,101.56913
q0,C_02,102.03356
q0,C_12,58.41119
q0,C_13,0.74949
q0,C_23,0.17146
q1,C_01,101.66174
q1,C_02,102.05172
q1,C_12,58.41183
q1,C_13,0.56197
q1,C_23,0.13939
q2,C_01,101.77872
q2,C_02,101.92682
q2,C_12,58.39897
q2,C_13,0.46648
q2,C_23,0.13382
q3,C_01,101.88674
q3,C_02,101.89810
q3,C_12,58.36655
q3,C_13,0.34752
q3,C_23,0.19624
q4,C_01,101.90892
q4,C_02,101.87276
q4,C_12,58.41037
q4,C_13,0.46345
q4,C_23,0.20974
q5,C_01,101.68847
q5,C_02,101.86334
q5,C_12,58.38114
q5,C_13,0.68232
q5,C_23,0.23975